epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1519,1.75114,4.00965,1.414,0.51779,0.07407,0.13426,0.08292,1.79116,3.40657,1.25018,0,0,0
2,42.1109,1.76746,4.0995,1.43777,0.54418,0.07407,0.14114,0.08852,1.77357,3.35947,1.24808,1.12625e-05,1.12625e-05,1.12625e-05
3,58.3744,2.00239,4.39762,1.36392,0.93325,0.07407,0.1484,0.0907,1.72873,3.28032,1.24521,2.005e-05,2.005e-05,2.005e-05
4,71.1686,1.65305,3.6526,1.29493,0.57754,0.10339,0.17307,0.10853,1.72464,3.14449,1.23142,2.63625e-05,2.63625e-05,2.63625e-05
5,83.539,1.48081,3.36735,1.2999,0.91591,0.11011,0.15389,0.1166,1.68509,2.9234,1.2126,3.02e-05,3.02e-05,3.02e-05
6,97.6348,1.58641,3.20293,1.31399,0.86118,0.14815,0.18047,0.12463,1.60554,2.76277,1.18425,3.15625e-05,3.15625e-05,3.15625e-05
7,111.381,1.347,2.98488,1.24291,0.93163,0.14437,0.20002,0.14063,1.58613,2.64066,1.18885,3.045e-05,3.045e-05,3.045e-05
8,137.534,1.4117,2.94305,1.23815,0.9333,0.14807,0.19162,0.14132,1.53887,2.61238,1.17724,2.68625e-05,2.68625e-05,2.68625e-05
9,155.934,1.42076,2.59645,1.19013,0.9333,0.14807,0.19162,0.14132,1.53887,2.61238,1.17724,2.08e-05,2.08e-05,2.08e-05
10,171.544,1.3372,2.60467,1.33486,0.92758,0.14815,0.19141,0.1411,1.54084,2.57642,1.19088,1.22625e-05,1.22625e-05,1.22625e-05
