epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53742,1.84189,4.36921,1.48238,0,0,0,0,1.77971,4.50387,1.24865,1.25e-05,1.25e-05,1.25e-05
2,12.8895,1.90751,4.53492,1.24035,0,0,0,0,1.71594,4.50465,1.19574,3.37875e-05,3.37875e-05,3.37875e-05
3,18.6784,1.48348,4.29666,1.31852,0,0,0,0,1.6819,4.47919,1.1711,5.0125e-05,5.0125e-05,5.0125e-05
4,23.7184,1.48557,4.17355,1.24412,0,0,0,0,1.74516,4.44147,1.2143,6.15125e-05,6.15125e-05,6.15125e-05
5,28.542,1.46693,4.35717,1.24781,0,0,0,0,1.61032,4.4254,1.14858,6.795e-05,6.795e-05,6.795e-05
6,33.1991,1.50496,4.15438,1.15337,0,0,0,0,1.61032,4.4254,1.14858,6.94375e-05,6.94375e-05,6.94375e-05
7,38.007,1.56984,4.17561,1.17162,0,0,0,0,1.50062,4.33966,1.12879,6.5975e-05,6.5975e-05,6.5975e-05
8,43.1604,1.41836,4.08996,1.11194,0,0,0,0,1.37598,4.29954,1.0948,5.75625e-05,5.75625e-05,5.75625e-05
9,48.2089,1.38171,3.99752,1.08762,0,0,0,0,1.37598,4.29954,1.0948,4.42e-05,4.42e-05,4.42e-05
10,53.0128,1.33581,3.99019,1.0935,0,0,0,0,1.3764,4.24924,1.08091,2.58875e-05,2.58875e-05,2.58875e-05
