epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2041,1.90384,4.11391,1.63275,0.52793,0.07407,0.14579,0.09176,1.75664,3.37906,1.24513,1.25e-05,1.25e-05,1.25e-05
2,25.6433,1.94585,4.15805,1.40881,0.57701,0.10268,0.17654,0.11201,1.72276,3.11286,1.23465,3.37875e-05,3.37875e-05,3.37875e-05
3,37.5482,1.41812,3.44048,1.24138,0.58279,0.11039,0.16633,0.1269,1.62267,2.82186,1.19156,5.0125e-05,5.0125e-05,5.0125e-05
4,52.1518,1.59522,3.12412,1.3083,0.93166,0.14442,0.21701,0.151,1.54972,2.58005,1.19433,6.15125e-05,6.15125e-05,6.15125e-05
5,66.5548,1.45304,3.21021,1.26661,0.8524,0.18519,0.21602,0.16037,1.41403,2.44958,1.14975,6.795e-05,6.795e-05,6.795e-05
6,80.3933,1.37336,2.7955,1.25714,0.8524,0.18519,0.21602,0.16037,1.41403,2.44958,1.14975,6.94375e-05,6.94375e-05,6.94375e-05
7,94.2859,1.25385,2.33797,1.2044,0.94366,0.18257,0.22115,0.16593,1.39408,2.36159,1.16071,6.5975e-05,6.5975e-05,6.5975e-05
8,109.355,1.2805,2.40164,1.15876,0.94752,0.22222,0.25309,0.17125,1.42672,2.30744,1.17593,5.75625e-05,5.75625e-05,5.75625e-05
9,123.769,1.33258,2.21897,1.09969,0.94752,0.22222,0.25309,0.17125,1.42672,2.30744,1.17593,4.42e-05,4.42e-05,4.42e-05
10,139.469,1.33205,2.27564,1.21047,0.94624,0.22222,0.25277,0.17345,1.38846,2.27497,1.15694,2.58875e-05,2.58875e-05,2.58875e-05
