epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1634,1.83251,4.22179,1.45529,0.53985,0.08333,0.146,0.09467,1.79123,3.39633,1.25531,1.25e-05,1.25e-05,1.25e-05
2,44.5753,1.67391,3.83488,1.38494,0.57772,0.11659,0.17299,0.1184,1.71215,3.19441,1.24496,3.37875e-05,3.37875e-05,3.37875e-05
3,58.4329,1.81858,4.10972,1.3178,0.58236,0.12355,0.1687,0.13066,1.64917,3.00293,1.23846,5.0125e-05,5.0125e-05,5.0125e-05
4,74.0591,1.5202,2.98464,1.22407,0.92505,0.16667,0.20543,0.15836,1.50368,2.73191,1.18488,6.15125e-05,6.15125e-05,6.15125e-05
5,89.715,1.49216,3.13238,1.36019,0.92402,0.16667,0.23208,0.17932,1.43552,2.6058,1.16873,6.795e-05,6.795e-05,6.795e-05
6,104.442,1.55156,2.63971,1.21068,0.92402,0.16667,0.23208,0.17932,1.43552,2.6058,1.16873,6.94375e-05,6.94375e-05,6.94375e-05
7,120.152,1.40091,2.93223,1.25951,0.53056,0.2422,0.22738,0.16893,1.38701,2.63614,1.14755,6.5975e-05,6.5975e-05,6.5975e-05
8,134.967,1.38307,2.36684,1.20536,0.53039,0.25,0.22896,0.17463,1.36135,2.64953,1.13507,5.75625e-05,5.75625e-05,5.75625e-05
9,149.813,1.23612,2.14174,1.10767,0.53039,0.25,0.22896,0.17463,1.36135,2.64953,1.13507,4.42e-05,4.42e-05,4.42e-05
10,164.163,1.29327,2.34116,1.28229,0.49788,0.25,0.239,0.18009,1.27968,2.53525,1.10879,2.58875e-05,2.58875e-05,2.58875e-05
