epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7837,1.89813,3.95973,1.3905,0.37088,0.12949,0.11499,0.05208,1.82243,2.71778,1.42361,7.5e-05,7.5e-05,7.5e-05
2,138.852,1.57288,2.77985,1.2562,0.43028,0.18085,0.22415,0.13211,1.4788,2.52946,1.25294,0.000146413,0.000146413,0.000146413
3,214.275,1.4717,2.23599,1.23329,0.76291,0.29802,0.37755,0.23665,1.33292,1.8805,1.18149,0.0002005,0.0002005,0.0002005
4,295.547,1.4407,1.79474,1.16488,0.65823,0.3755,0.39289,0.24048,1.34302,1.92605,1.16944,0.000237263,0.000237263,0.000237263
5,364.908,1.34312,1.73431,1.20406,0.80301,0.45571,0.58237,0.36555,1.28715,1.72087,1.13437,0.0002567,0.0002567,0.0002567
6,423.507,1.3152,1.5077,1.09906,0.73884,0.6057,0.74912,0.48186,1.21942,1.47513,1.09896,0.000258812,0.000258812,0.000258812
7,480.017,1.27112,1.41492,1.0864,0.73884,0.6057,0.74912,0.48186,1.21942,1.47513,1.09896,0.0002436,0.0002436,0.0002436
8,535.898,1.30808,1.41668,1.13373,0.64702,0.81558,0.79588,0.51734,1.21136,1.28697,1.07816,0.000211063,0.000211063,0.000211063
9,587.691,1.28275,1.42085,1.07673,0.83429,0.67217,0.79124,0.52496,1.20397,1.26227,1.07228,0.0001612,0.0001612,0.0001612
10,639.236,1.2677,1.23761,1.08029,0.83429,0.67217,0.79124,0.52496,1.20397,1.26227,1.07228,9.40125e-05,9.40125e-05,9.40125e-05
